# Total number of edges: 26
# --------------------------
Vu2025_08_1 >> Vu2025_10_1
Vu2025_08_1 >> Vu2025_13_1
Vu2025_09_1 >> Vu2025_07_1
Vu2025_09_1 >> Vu2025_06_1
Vu2025_10_1 >> Vu2025_11_1
Vu2025_10_1 >> Vu2025_13_1
Vu2025_07_1 >> Vu2025_06_1
Vu2025_07_1 >> Vu2025_03_1
Vu2025_06_1 >> Vu2025_03_1
Vu2025_06_1 >> Vu2025_04_1
Vu2025_06_1 >> Vu2025_02_1
Vu2025_05_1 >> Vu2025_01_1
Vu2025_05_1 >> Vu2025_04_1
Vu2025_04_1 >> Vu2025_03_1
Vu2025_02_1 >> Vu2025_03_1
Vu2025_02_1 >> Vu2025_01_1
Vu2025_02_1 >> Vu2025_11_1
Vu2025_01_1 >> Vu2025_03_1
Vu2025_01_1 >> Vu2025_11_1
A1JMR >> Vu2025_13_1
A1JMR >> Vu2025_22_1
Vu2025_22_1 >> Vu2025_11_1
Vu2025_22_1 >> Vu2025_14_1
Vu2025_21_1 >> Vu2025_14_1
Vu2025_21_1 >> Vu2025_13_1
Vu2025_11_1 >> Vu2025_13_1
